Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature_diff,Power,Tool_wear_rate,Target,Failure Type
M,297.0242765930187,309.38385187110737,1523.510458471091,33.88628386975598,154.56362648234074,12.359575278088641,5406.2733743771505,0.6182545059293629,0,No Failure
H,297.74962779653765,310.10732534647394,1650.301545218304,38.920445083094684,184.93302055537333,12.35769754993629,6726.199158862957,0.7397320822214933,0,No Failure
M,300.77763782052745,308.96817344927155,1519.6443961309446,30.65551014555688,3.2656082760358087,8.190535628744101,4878.41945069556,0.013062433104143236,0,No Failure
M,297.65225334738795,309.11074783752906,1469.5704885980763,39.630835255009416,84.91828245306552,11.458494490141106,6098.910575005553,0.33967312981226205,0,No Failure
L,302.2252686104066,310.4343769220284,1357.1693131614911,42.935593439639995,192.60518425707585,8.209108311621776,6102.111222208149,0.7704207370283034,1,HDF
L,299.85775941833936,310.1316153732727,1315.0368396308043,33.262875162706536,101.00198759200524,10.273855954933367,4580.641708977396,0.40400795036802095,0,No Failure
L,300.1711894078891,310.49158650759045,1288.981317346189,40.08510135311474,90.71168163898885,10.320397099701381,5410.759450751075,0.3628467265559554,0,No Failure
H,299.4432540647842,310.7140143897008,1615.5556848771594,37.976739859117906,237.88805894582518,11.270760324916637,6424.927472204837,0.9515522357833007,1,TWF
M,301.54569567708745,310.7043386011476,1483.6656872467242,43.344004176821194,138.13712296528823,9.158642924060132,6734.319242171568,0.552548491861153,0,No Failure
M,301.566319775554,310.878213998155,1537.3408358107156,30.0,48.12302125909662,9.311894222600984,4829.698675846536,0.19249208503638646,0,No Failure
L,300.6701087038243,308.2582833801339,1321.452980025367,43.559444240244986,118.05667221764263,7.588174676309563,6027.853139135055,0.4722266888705705,0,No Failure
H,301.12957821181527,309.64569034958566,1599.138389988871,32.9112170127349,129.66781926373076,8.516112137770392,5511.357838247301,0.5186712770549231,0,No Failure
H,299.57582066015914,310.26862404250994,1655.2590968998668,40.95029826888303,247.182908514408,10.692803382350803,7098.256203829592,0.9887316340576321,0,No Failure
L,301.0844060138181,309.9773224745127,1351.4590330338838,36.45540941758651,179.55488474580307,8.89291646069455,5159.3320952126805,0.7182195389832122,0,No Failure
L,299.3242444490524,309.329909426182,1325.3973493994902,38.196485365955695,129.85053264440725,10.005664977129584,5301.492105419889,0.519402130577629,0,No Failure
L,300.0044632443248,310.91202367098833,1341.9388267076936,32.35304621611283,107.99769025180375,10.907560426663508,4546.492874201017,0.431990761007215,0,No Failure
M,299.4507125012674,311.9799483682906,1529.286812579897,48.30068820256891,228.87373884948602,12.529235867023203,7735.188120429324,0.9154949553979441,0,No Failure
M,299.0855629213616,310.1861619555817,1520.1211729619754,33.56718461194831,161.48526906921714,11.100599034220124,5343.449916798348,0.6459410762768686,0,No Failure
M,298.62177640455644,310.0843410321982,1517.5269062062118,33.96173197012137,89.02169713547225,11.462564627641768,5397.030198455221,0.356086788541889,0,No Failure
L,300.9353802077178,310.8494562551043,1290.8160607739885,48.97410292542759,116.15759045303528,9.914076047386516,6620.02253799927,0.4646303618121411,0,No Failure
M,302.6212118256269,308.1341602447966,1586.5964418514598,41.61350818037832,69.53119584027672,5.512948419169675,6914.000776989479,0.2781247833611069,0,No Failure
